"id","id_dz","id_pyt","pytanie","odpa","odpb","odpc"
158,1,158,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 7 to:","BFO","wzmacniacz II pośredniej cz.","detektor AM , CW, SSB"
159,1,159,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 8 to:","wzmacniacz akustyczny","wzmacniacz w.cz.","detektor AM, CW , SSB"
160,1,160,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 10 to:","wzmacniacz akustyczny","BFO","detektor AM, CW, SSB"
161,1,161,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 11 to:","I heterodyna strojona","wzmacniacz akustyczny","detektor AM"
162,1,162,"Na rysunku przedstawiono schemat blokowy odbiornika homodynowego CW i SSB, na jedno pasmo amatorskie. Blok 2 to:","wzmacniacz akustyczny","filtr wejściowy","mieszacz zrównoważony"
163,1,163,"Na rysunku przedstawiono schemat blokowy odbiornika homodynowego CW i SSB, na jedno pasmo amatorskie. Blok 3 to:","heterodyna","wzmacniacz akustyczny","filtr wejściowy"
164,1,164,"Na rysunku przedstawiono schemat blokowy odbiornika homodynowego CW i SSB, na jedno pasmo amatorskie. Blok 4 to:","filtr wejściowy","wzmacniacz akustyczny","heterodyna"
165,1,165,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 1 to:","wzmacniacz w.cz.","wzmacniacz akustyczny","detektor FM"
166,1,166,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 3 to:","wzmacniacz w.cz.","wzmacniacz I pośredniej cz. 10,7 MHz","I heterodyna"
167,1,167,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 4 to:","wzmacniacz akustyczny","blokada szumów","II mieszacz"
168,1,168,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 5 to:","II heterodyna stała","wzmacniacz II p.cz. 455 kHz","detektor FM"
169,1,169,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 6 to:","detektor FM","wzmacniacz akustyczny","II heterodyna stała"
170,1,170,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 7 to:","wzmacniacz II p. cz. 455kHz","wzmacniacz akustyczny","detektor FM"
171,1,171,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 8 to:","wzmacniacz akustyczny","blokada szumów","detektor FM"
172,1,172,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 9 to:","wzmacniacz akustyczny","blokada szumów","II heterodyna stała"
173,1,173,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 10 to:","I heterodyna kwarcowa","wzmacniacz akustyczny","detektor FM"
174,1,174,"Miarą selektywności odbiornika jest szerokość pasma odbieranego przez odbiornik. Przy jakim poziomie od poziomu maksymalnego mierzymy selektywność?","przy –10 dB","przy –6 dB","przy –12 dB"
175,1,175,"Przy jakim stosunku sygnału do szumu mierzymy czułość odbiornika?","przy 6 dB","przy 10 dB","przy 20 dB"
176,1,176,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na jedno pasmo amatorskie. Blok 1 to:","separator","wzmacniacz mocy (PA)","oscylator (VFO)"
177,1,177,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na jedno pasmo amatorskie. Blok 2 to:","wzmacniacz mocy (PA)","oscylator (VFO)","separator"
178,1,178,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na jedno pasmo amatorskie. Blok 3 to:","oscylator (VFO)","wzmacniacz mocy (PA)","filtr wyjściowy"
179,1,179,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na kilka pasm amatorskich z powielaniem częstotliwości. Blok 2 to:","wzmacniacz sterujący","separator","I powielacz x2"
180,1,180,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na kilka pasm amatorskich z powielaniem częstotliwości. Blok 3 to:","wzmacniacz mocy (PA)","I powielacz x2","oscylator (VFO)"
181,1,181,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na kilka pasm amatorskich z powielaniem częstotliwości. Blok 4 to:","wzmacniacz sterujący","filtr wyjściowy","II powielacz x2"
182,1,182,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na kilka pasm amatorskich z powielaniem częstotliwości. Blok 5 to:","wzmacniacz sterujący","I powielacz x2","oscylator (VFO)"
183,1,183,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na kilka pasm amatorskich z powielaniem częstotliwości. Blok 6 to:","filtr wyjściowy","wzmacniacz mocy (PA)","II powielacz x2"
184,1,184,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na kilka pasm amatorskich z powielaniem częstotliwości. Blok 7 to:","oscylator (VFO)","filtr wyjściowy","separator"
185,1,185,"Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 3 to:","filtr pasmowy 3.5 - 14 MHz","wzmacniacz mocy (PA)","VFO 5 - 5.5 MHz"
186,1,186,"Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 4 to:","wzmacniacz sterujący","filtr wyjściowy","wzbudnica SSB 9 MHz"
187,1,187,"Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 5 to:","wzmacniacz mocy (PA)","mieszacz","oscylator (VFO) 5 - 5.5 MHz"
188,1,188,"Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 6 to:","wzmacniacz mocy (PA)","filtr wyjściowy","mieszacz"
189,1,189,"Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 7 to:","oscylator (VFO) 5-5.5 MHz","filtr wyjściowy","filtr pasmowy 3.5 - 14 MHz"
190,1,190,"Na rysunku przedstawiono schemat blokowy nadajnika UKF na pasmo 144MHz z powielaniem częstotliwości kanałowego generatora kwarcowego 8 MHz. Blok 2 to:","generator kwarcowy modulowany","modulator","I powielacz x3"
191,1,191,"Na rysunku przedstawiono schemat blokowy nadajnika UKF na pasmo 144MHz z powielaniem częstotliwości kanałowego generatora kwarcowego 8 MHz. Blok 3 to:","I powielacz x3","II powielacz x3","generator kwarcowy modulowany"
192,1,192,"Na rysunku przedstawiono schemat blokowy nadajnika UKF na pasmo 144MHz z powielaniem częstotliwości kanałowego generatora kwarcowego 8 MHz. Blok 4 to:","wzmacniacz mocy (PA)","filtr wyjściowy","II powielacz x3"
193,1,193,"Na rysunku przedstawiono schemat blokowy nadajnika UKF na pasmo 144MHz z powielaniem częstotliwości kanałowego generatora kwarcowego 8 MHz. Blok 5 to:","filtr wyjściowy","III powielacz x2","modulator"
194,1,194,"Na rysunku przedstawiono schemat blokowy nadajnika UKF na pasmo 144MHz z powielaniem częstotliwości kanałowego generatora kwarcowego 8 MHz. Blok 6 to:","filtr wyjściowy","wzmacniacz mocy (PA)","II powielacz x3"
195,1,195,"Na rysunku przedstawiono schemat blokowy nadajnika UKF na pasmo 144 MHz z generatorem PLL. Blok 1 to:","wzmacniacz mocy (PA)","generator PLL","modulator"
196,1,196,"Na rysunku przedstawiono schemat blokowy nadajnika UKF na pasmo 144 MHz z generatorem PLL. Blok 2 to:","generator PLL","modulator","wzmacniacz sterujący"
197,1,197,"Na rysunku przedstawiono schemat blokowy nadajnika UKF na pasmo 144 MHz z generatorem PLL. Blok 3 to:","modulator","wzmacniacz sterujący","generator PLL"
198,1,198,"Na rysunku przedstawiono schemat blokowy nadajnika UKF na pasmo 144 MHz z generatorem PLL. Blok 4 to:","wzmacniacz mocy (PA)","filtr wyjściowy","modulator"
199,1,199,"Na rysunku przedstawiono schemat blokowy nadajnika UKF na pasmo 144 MHz z generatorem PLL. Blok 5 to:","filtr wyjściowy","wzmacniacz sterujący","modulator"
200,1,200,"Jak zmienia się oporność dipola półfalowego przy niskim zawieszeniu nad ziemią?","nie zmienia się","rośnie","maleje"
201,1,201,"W antenie dipolowej W3DZZ na pasma 80, 40, 20 metrów zastosowano trapy. Na jaką częstotliwość muszą być nastrojone?","10 MHz","7,05 MHz","14,1 MHz"
202,1,202,"Zysk anteny kierunkowej wyrażony jest w dBi. Względem jakiego źródła jest określony?","dipola pomiarowego","źródła izotropowego","innej anteny kierunkowej"
203,1,203,"Jaka jest różnica pomiędzy efektywną mocą promieniowaną e.r.p. a efektywną mocą promieniowaną izotropowo e.i.r.p?","e.i.r.p. jest większe o 2,16 dB od e.r.p.","e.i.r.p. jest mniejsze o 2,16 dB od e.r.p.","nie ma różnicy"
204,1,204,"Antena kierunkowa na UKF w miejscu odbioru daje napięcie 4 razy większe jak dipol półfalowy. Jaki ma zysk dBd?","6 dBd","4 dBd","12 dBd"
205,1,205,"Kabel koncentryczny wprowadza straty sygnału. Kabel przy częstotliwości 150 MHz ma straty 12 dB na 100 m. Długość kabla między anteną a odbiornikiem wynosi 50 m. Ile razy napięcie na wejściu odbiornika będzie mniejsze niż w antenie?","4 razy","6 razy","2 razy"
206,1,206,"Jakie długości fal zaliczamy do zakresu fal krótkich?","od 100 m do 10 m","od 80 m do 13 m","od 160 m do 10 m"
207,1,207,"Do jakiej wysokości sięgają najwyższe warstwy jonosfery w lecie w dzień?","do 200 km","450 km","100 km"
208,1,208,"O czym mówi podawana w prognozach propagacji częstotliwość MUF?","o zakłóceniach odbioru","o maksymalnej częstotliwości do łączności na danej trasie","o zaniku łączności w danym kierunku"
209,1,209,"Co to jest strefa martwa na falach krótkich?","strefa bez odbioru leżąca pomiędzy końcem fali przyziemnej a powrotem fali przestrzennej","strefa bez odbioru z powodu dużych zakłóceń w mieście","strefa w której brak odbioru z powodu interferencji fal przychodzących z różnych kierunków"
210,1,210,"Jakim przyrządem możemy sprawdzić kształt napięcia zmiennego w.cz. i wykryć zniekształcenia sygnału?","oscyloskopem","miernikiem napięcia","słuchając odbiornikiem"
211,2,1,"Jakie dodatkowe zabezpieczenie, oprócz umieszczenia jej na bezpiecznej wysokości, są zalecane dla anteny na terenowym QTH?","nie są potrzebne żądne dodatkowe zabezpieczenia","wykonanie anteny z drutu miedzianego w igielicie","zakaz przebywania pod anteną podczas nadawania"
212,2,2,"Czy można wykorzystać sieć wodociągową jako uziemienie?","tak","jedynie po zbocznikowaniu wodomierza, upewnieniu się, że jest ona uziemiona oraz po uzyskaniu zgody jednostki eksploatującej tę sieć","nie, jest to zabronione"
213,2,3,"Resuscytację krążeniowo-oddechową u osoby dorosłej, bez widocznych obrażeń ciała, wykonujemy w stosunku:","30 uciśnięć klatki piersiowej na dwa wdechy","20 uciśnięć klatki piersiowej na cztery wdechy","15 uciśnięć klatki piersiowej na sześć wdechów"
214,2,4,"Podczas pracy z monitorem komputerowym, minimalne zalecane przerwy wynoszą:","co dwie godziny po 20 minut","co godzinę pięć minut","co trzy godziny po dziesięć minut"
215,2,5,"Jakie oznaczenie na rękojeści narzędzia ma istotne znaczenie przy pracach elektrycznych?","rodzaj zastosowanej izolacji","nazwa producenta","dopuszczalne napięcie pracy"
216,2,6,"Dlaczego stosuje się ograniczenia w przebywaniu (zamieszkaniu) w bezpośrednim sąsiedztwie dużych obiektów nadawczych radiowych i telewizyjnych?","ze względu na wyładowania atmosferyczne","ze względu na duże natężenie pola elektromagnetycznego mogące mieć negatywny wpływ na zdrowie","ze względu na możliwość przewrócenia się masztu"
217,2,7,"Czy wolno wykonywać prace antenowe przy włączonym nadajniku?","wolno, bez żadnych ograniczeń","wolno, ale tylko przy małych mocach nadajnika","kategorycznie nie wolno"
218,2,8,"Na polu antenowym mamy kilka anten na różne pasma. Czy można regulować nieczynne anteny, jeżeli obok pracuje na podobnej antenie nadajnik KF?","nie wolno","można","można, ale tylko gdy nadajnik ten pracuje z małą mocą"
219,2,9,"Spełnienie jakich warunków konstrukcyjnych ogranicza przedostawanie się energii w.cz. niepożądanymi drogami?","dobre uziemienie i szczelność ekranowania","filtrowany zasilacz","odpowiedni przekrój kabla sieciowego"
220,2,10,"Czy źle wykonany uziom może być przyczyną szkodliwego promieniowania w.cz.?","nie","tak","nie zawsze"
221,2,11,"Jakie niebezpieczeństwo grozi, gdy trzymamy w rękach naładowany kondensator elektrolityczny?","porażenie prądem elektrycznym","nie ma żadnego niebezpieczeństwa","implozja kondensatora"
222,2,12,"Czy zwarcie drutem biegunów źródła prądu (bateria, akumulator) może być niebezpieczne?","nie ma żadnego zagrożenia","tak, może spowodować pożar","tak, może spowodować stopienie się drutu i poparzenie roztopionym metalem"
223,2,13,"Czy kondensator elektrolityczny musi mieć napięcie pracy równe lub większe niż napięcie występujące w układzie w jakim pracuje?","napięcie pracy kondensatora nie ma znaczenia","napięcie pracy kondensatora ma znaczenia tylko w niektórych typach układów","koniecznie, gdyż może ulec zniszczeniu"
224,2,14,"Czy brak filtru przeciw zakłóceniowego na obwodzie zasilania sieciowego może być przyczyną zakłóceń w pracy urządzenia?","tak, ale tylko przy dużej mocy","zawsze, bez względu na moc","to nie ma znaczenia, rolę filtru pełni transformator zasilacza"
225,2,15,"Czy promieniowanie elektromagnetyczne w.cz. może mieć wpływ na zdrowie człowieka?","nie","tak","nie, jeśli używamy specjalnego ubrania ochronnego"
226,2,16,"Czy sztuczne obciążenie w postaci opornika bezindukcyjnego powinno być ekranowane?","nie ma takiej potrzeby","tak, zawsze powinno być ekranowane i uziemione w tym samym punkcie co radiostacja","tylko w przypadku gdy wzmacniacz mocy nie jest właściwie dostrojony"
227,2,17,"Czy można uruchomić urządzenie po przeniesieniu z zimnego pomieszczenia do ciepłego?","istnieje bezwzględny zakaz","można, ale po odczekaniu pewnego czasu","można natychmiast, bez żadnego ryzyka"
228,2,18,"Czy plastikowa obudowa urządzenia nadawczego stanowi odpowiednie zabezpieczenie przed oddziaływaniem energii w.cz.?","jest to wystarczające zabezpieczenie przed energią w.cz.","urządzenia te używa się głównie na terenowym QTH więc takie zabezpieczenie nie jest potrzebne","nie stanowi żadnego zabezpieczenia przed energią w.cz."
229,2,19,"Czy dopuszczalne jest użycie sieci CO (np. kaloryfera) do uziemienia radiostacji?","tak","tylko po upewnieniu się, że jest ona właściwie uziemiona oraz po uzyskaniu zgody jednostki eksploatującej tę sieć","nie"
230,2,20,"Jaki zapas mocy powinien mieć zasilacz urządzeń AM i FM przewidziany do ciągłej bezawaryjnej pracy?","20% więcej","50% więcej","10 % więcej powyżej mocy maksymalnej"
231,2,21,"Czy można wykorzystać jako uziemienie rurę instalacji gazowej?","bezwzględnie nie wolno","wolno bez żadnych ograniczeń","wolno jedynie w sytuacji, gdy nie dysponuje się innym uziemieniem"
232,2,22,"Jakie działania należy podjąć, aby udzielić pomocy porażonemu prądem elektrycznym?","odłączyć porażonego od prądu, podjąć działania w celu wyeliminowania skutków ewentualnych poparzeń","zadbać o własne bezpieczeństwo, odłączyć porażonego od prądu, sprawdzić funkcje życiowe, wezwać lekarza, w razie konieczności przeprowadzać resuscytację krążeniowo-oddechową","zadbać o własne bezpieczeństwo, wezwać znajomych w celu prowadzenia wspólnej akcji ratowniczej"
233,2,23,"Pomieszczenie, w którym znajduje się indywidualna stacja amatorska, powinno być wyposażone w następujące środki ochrony ppoż:","środki gaśnicze wymagane dla obiektów użytku publicznego","koc gaśniczy i gaśnicę do gaszenia urządzeń elektrycznych","gaśnicę do gaszenia urządzeń pod napięciem"
234,2,24,"Przewody zasilające prądu stałego oznaczone są kolorami:","żółty i czarny","niebieski i czarny","czerwony i czarny"
235,2,25,"Uszkodzonych tranzystorów nie powinno się otwierać, gdyż:","można się pokaleczyć","zawierają szkodliwe substancje, mogące spowodować ciężkie zatrucie","zawierają tajemnice produkcji, których i tak nie jesteśmy w stanie wykorzystać"
236,2,26,"Narzędzia do prac elektrycznych powinny:","charakteryzować się estetyką wykonania","posiadać homologację Ministerstwa Łączności","posiadać izolowane uchwyty z nadrukowaną informacją o dopuszczalnym napięciu pracy np. 500 V"
237,2,27,"Na terenowym QTH uziemienie można wykonać:","wbijając uziom do ziemi jako osobne uziemienie dla swojej stacji","podłączając się do uziomu roboczego na słupie kratowym","podłączając się do uziomu w energetycznej szafie rozdzielczej"
238,2,28,"Uruchomienie nieznanego urządzenia rozpoczyna się od:","włożenia wtyczki do kontaktu i przełączenia przełącznika","podłączenia anteny i uziemienia","sprawdzenia, czy ustawione jest właściwe napięcie sieci oraz zainstalowany jest właściwy bezpiecznik"
239,2,29,"Czy radiostację i urządzenia pomocnicze można podłączać do gniazd zasilanych z dwóch różnych faz?","można, nie ma żadnych przeciwwskazań","kategorycznie nie można, grozi to zniszczeniem sprzętu i porażeniem operatora","można, jeżeli jednocześnie nie używa się wszystkich urządzeń"
240,2,30,"Po zakończeniu pracy radiostacji należy:","wyłączyć zasilanie","wyłączyć zasilanie i uziemić anteny","wyłączyć zasilanie, uziemić anteny i odłączyć uziemienie od radia"
241,2,31,"Podczas wieszania anteny na wysokościach należy:","jedynie zapewnić sobie pomoc innej osoby","zapewnić sobie pomoc innej osoby oraz stosować sprzęt ochronny","zapewnić sobie pomoc innej osoby, stosować sprzęt ochronny, starać się maksymalnie zabezpieczyć osoby na dole przez ogrodzenie miejsc zagrożonych linką i zawieszenie tablic „Na górze pracują” oraz zapewnić łączność za pomocą radiotelefonów przenośnych, aby prace wykonać na komendę pomagającej nam osoby kiedy nie ma zagrożenia dla innych ludzi"
242,2,32,"Środki ochrony osobistej przy pracy na wysokości to:","rękawice i okulary ochronne","drabina rozstawna","szelki bezpieczeństwa z podwójną linką plus lina asekuracyjna, kask i rękawice"
243,2,33,"Jaka powinna być rezystancja uziemienia radiostacji?","50 Ω","zależnie od kabla antenowego: 50 lub 75 Ω","pomiędzy 10 a 1 Ω, im mniejsza tym lepsza"
244,2,34,"W momencie stwierdzenia pożaru urządzenia elektrycznego należy:","zadzwonić po straż pożarną","wezwać kolegów i wspólnie przystąpić do gaszenia","odłączyć urządzenie od zasilania i przystąpić do gaszenia, w razie potrzeby wezwać straż pożarną"
245,2,35,"Zwody (połączenia) uziemiające od radiostacji należy poprowadzić następująco:","zasilacz do ziemi, skrzynka antenowa do radia i do zasilacza","skrzynka antenowa jako pierwsza do uziemienia, następnie radiostacja osobnym zwodem do skrzynki i zasilacz osobnym zwodem do tejże skrzynki","sposób prowadzenia połączeń uziemiających nie ma znaczenia"
246,2,36,"Transformator ochronny stosujemy, gdy:","zachodzi obawa, że użycie narzędzi elektrycznych zasilanych napięciem 230 V może spowodować porażenie prądem, np. pracując na zewnątrz pomieszczeń","wykonujemy prace w wilgotnym pomieszczeniu","jak w punkcie A i B i w innych sytuacjach, jeżeli zachodzi niebezpieczeństwo porażenia prądem, np. przy pracach naprawczych"
247,2,37,"W przypadku poparzenia elektrolitem należy:","sprawdzić czy nie oblane zostało ubranie i buty, jeśli tak to należy zdjąć takie ubranie lub buty","spłukać wodą oparzone miejsce – kontakt z lekarzem nie jest konieczny","zdjąć odzież z oparzonego miejsca, płukać wodą oparzone miejsce, zabezpieczyć sterylnym opatrunkiem i udać się do lekarza"
248,2,38,"W przypadku zaprószenia oka ciałem obcym należy:","odczekać aż ciało obce samo wypadnie","usunąć ciało obce samodzielnie za pomocą pęsety","spróbować usunąć obce ciało, przemywając oko wodą, a jeżeli się to nie uda, skorzystać z pomocy lekarza"
249,2,39,"Podstawowe wyposażenie ochronne do prac z elektrolitem to:","ubranie ochronne, okulary, rękawice ochronne","maska na twarz, nakrycie głowy, obuwie ochronne","nie ma potrzeby stosować żadnego wyposażenia ochronnego"
250,2,40,"Mierząc miernikiem napięcie o niemożliwej do oszacowania wartości należy:","ustawić miernik na najwyższy zakres pomiarowy i stopniowo zmniejszać zakres","ustawić miernik na najniższy zakres pomiarowy i stopniowo zwiększać zakres","rozpocząć pomiary od środkowego zakresu miernika"
251,2,41,"Przygotowując się do wykonania prac pod napięciem, oprócz przygotowania odpowiednich przyrządów należy:","sprawdzić czy zastosowano prawidłowe bezpieczniki w mierzonych obwodach","przygotować schemat elektryczny urządzenia i zapoznać się z nim","jak w punkcie A i B oraz zapewnić sobie obecność i ewentualną pomoc drugiej osoby"
252,2,42,"Podczas pracy nadajnika KF na jednej z anten, w celu zabezpieczenia się przed przypadkowym porażeniem od innych anten należy:","ułożyć przewody zasilające pod stołem luźno, lecz tak, aby się nie stykały","uziemić wszystkie nieużywane w danym momencie anteny, aby nie ulec porażeniu w wyniku ich przypadkowego dotknięcia","nie jest konieczne stosowanie jakichkolwiek zabezpieczeń"
253,2,43,"Przy podłączeniu zasilacza stacji przekrój sieci i wartość zabezpieczeń powinny być dobrany tak, aby zapewnić dostarczenie mocy:","wyższej niż moc określona w tabliczce znamionowej urządzenia","równej mocy określonej w tabliczce znamionowej urządzenia","niższej niż moc określona w tabliczce znamionowej urządzenia"
254,2,44,"Odległość pomiędzy masztem antenowym budowanym na ziemi a pasem drogowym, chodnikiem i innymi przeszkodami:","powinna być równa połowie wysokości masztu","nie ma żadnego znaczenia","powinna być większa niż wysokość masztu"
255,2,45,"Maszt kratowy uziemiamy:","jednym zwodem odgromowym","po przekątnej dwoma zwodami","czterema zwodami, po jednym na każdej nodze"
256,2,46,"Naprawa bezpieczników topikowych jest:","dopuszczalna dla bezpieczników stosowanych przy niskim napięciu","bezwzględnie zabroniona","dopuszczalna przy zastosowaniu drutu topikowego o odpowiedniej grubości"
257,2,47,"Jakie oznaczenia ochronne należy umieścił na maszcie anteny nadawczej?","promieniowanie elektromagnetyczne","uwaga antena nadawcza","zakaz dotykania masztu"
258,2,48,"Czy radiotelefon UKF należy uziemiać w czasie pracy?","nie ma takiej potrzeby","tak, obowiązkowo","tylko jeśli posiada zacisk uziemiający"
259,2,49,"Czy podczas pracy z wiertarką wymagane jest stosowanie rękawic ochronnych?","tak, obowiązkowo","można stosować według uznania","jest zabronione"
260,2,50,"Przy wymianie lampy stopnia mocy nadajnika należy:","wyłączyć zasilanie i natychmiast przystąpić do wymiany","wyłączyć zasilanie i poczekać aż rozładują się kondensatory zasilacza","przy pracującym wzmacniaczu zdjąć osłonę lampy i przystąpić do jej wymiany"
261,2,51,"Kondensator sprzęgający obwód anodowy PA z Pi-filtrem powinien:","posiadać dużą pojemność","posiadać małe wymiary","być wytrzymały na duże napięcie"
262,2,52,"Najlepszą formą zabezpieczenia anteny krótkofalowej przed burzą jest:","odłączenie anteny od radiostacji i wystawienie kabla anteny za okno","odłączenie anteny od radiostacji i połączenie anteny z uziemieniem","nie są wymagane żadne działania"
263,2,53,"Czy można umieścić kabel antenowy w kanale wywietrznika kominowego, jeżeli obok przebiega czynny komin?","można","bezwzględnie nie można","można, ale tylko w okresie poza sezonem grzewczym"
264,2,54,"Czy można używać kołków rozporowych do montażu anteny na kominie?","można","można, po spełnieniu dodatkowych warunków","nie wolno – można stosować jedynie opaski wokół komina"
265,2,55,"Czy nasza radiostacja może wywołać zakłócenia poza granicami kraju?","nie może","może, ale tylko podczas strojenia","może"
266,2,56,"Czy osoba posiadająca rozrusznik serca może przebywać w pobliżu anten nadawczych dużej mocy?","może, nie ma żadnego zagrożenia","może, pod pewnymi warunkami","kategorycznie nie powinna"
267,2,57,"Podczas regulacji urządzeń pod napięciem (o ile jest to konieczne) pracę wykonujemy:","dwoma rękoma","jedną ręką","jedną ręką w asyście drugiej osoby, wskazane jest również stosowanie chodnika lub obuwia izolacyjnego"
268,2,58,"Jakim przewodem podłączysz nadajnik dużej mocy do źródła zasilania?","zwykłym przewodem dwużyłowym","przewodem w oplocie bawełnianym","przewodem o przekroju żył, odpowiednim do pobieranej przez urządzenie mocy"
269,2,59,"Czy podczas naprawy oscyloskopu można go włączyć bez założonego na lampę cylindra ochronnego?","można bez żadnego ryzyka","można, ale należy uważać na wysokie napięcie","kategorycznie nie wolno"
270,2,60,"Jaka lokalizacja będzie bezpieczniejsza (najbardziej właściwa pod kątem narażenia na działanie pola elektromagnetycznego) dla anteny emitującej moc 1 kW?","dach naszego budynku w środku miasta","dach 12-piętrowego sąsiedniego wieżowca","terenowe QTH ze specjalnie wybudowanym polem antenowym"
271,2,61,"Czy fider antenowy radiostacji nadawczej może być prowadzony razem z kablem anteny odbiorczej TV?","może, gdy moc nadajnika nie jest zbyt duża","nie, kable powinny być maksymalnie oddalone","odległość miedzy kablami jest nieistotna"
272,2,62,"Czy świadectwo operatora urządzeń radiowych upoważnia do naprawy sieci elektrycznej w mieszkaniu?","tak, bez żadnych ograniczeń","tak, ale wyłącznie sieci jednofazowej","nie, do tego potrzebne jest posiadanie stosownych uprawnień"
273,2,63,"W którym miejscu należy podłączyć filtr przeciwzakłóceniowy (dolnoprzepustowy) przy pracy ze wzmacniaczem mocy?","po końcówce mocy na fider antenowy","pomiędzy transceiver a wzmacniacz mocy","miejsce podłączenia jest dowolne"
274,2,64,"Jakie są skutki uszkodzenia ekranu fidera antenowego?","nie ma żadnych","następuje wzrost zakłóceń, bez względu na pogodę","następuje wzrost zakłóceń i zmiana impedancji kabla grożąca uszkodzeniem nadajnika"
275,2,65,"Przed eksplozją kondensatorów elektrolitycznych w zasilaczu chroni nas:","stabilizator napięcia","opornik upływowy tzw. „bleder”","właściwe uziemienie zasilacza"
276,3,1,"Co oznacza wg kodu „Q” symbol QRG?","włączam większą moc nadajnika","moja częstotliwość jest ...","siła twoich sygnałów waha się"
277,3,2,"Co oznacza wg kodu „Q” symbol QSY?","przejdź na częstotliwość, zmień częstotliwość","do usłyszenia na innej częstotliwości","mam uszkodzoną antenę"
278,3,3,"Co oznacza wg kodu „Q” symbol QRM?","jestem czynny w eterze od miesiąca","odbieram twoje sygnały bardzo dobrze zmniejsz moc","mam zakłócenia od innych stacji"
279,3,4,"Co oznacza wg kodu „Q” symbol QRN?","jestem czynny w eterze od niedawna","mam zakłócenia atmosferyczne","pracuję na radiostacji tylko w niedzielę"
280,3,5,"Co oznacza wg kodu „Q” symbol QSB?","siła twoich sygnałów waha się","w okolicy jest burza, wyłączam radiostację","używam anteny dookolnej"
281,3,6,"Co oznacza wg kodu „Q” symbol QRV?","której godzinie rozpoczęliśmy łączność","jestem gotów do pracy, jestem czynny w eterze","proszę powtórzyć ostatnią relację"
282,3,7,"Co oznacza wg kodu „Q” symbol QTH?","nie mam ochoty z tobą dalej rozmawiać","przekazuję wiadomość od…","moje położenie geograficzne jest…"
283,3,8,"Co oznacza wg kodu „Q” symbol QRP?","nadawaj powoli","zmniejsz moc, zmniejszam moc","powtórz swój znak wywoławczy"
